DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100,DLC_Resnet50_POCJan30shuffle1_snapshot_best-100
red_light,red_light,red_light,blue_light,blue_light,blue_light,tailbase,tailbase,tailbase
x,y,likelihood,x,y,likelihood,x,y,likelihood
466.96548,307.5577,0.034766443,385.8048,230.30591,0.018758265,388.9654,252.05437,0.78340816
451.94077,307.6246,0.05049266,467.3028,307.35754,0.020085037,388.91718,251.68546,0.7555361
467.36194,307.66193,0.022393266,385.7235,230.16882,0.018269764,388.97708,250.77646,0.7756913
404.10272,148.02246,0.05149575,404.78687,147.64577,0.02271889,388.85837,250.47336,0.78185534
452.16772,307.61588,0.045559503,478.1715,242.66304,0.01985169,388.77692,254.21635,0.7732316
386.77005,221.78639,0.54322803,384.76822,228.43495,0.5194829,388.4022,255.5248,0.89716065
389.06607,221.54706,0.8296641,385.01117,227.72607,0.74851876,388.19424,256.52466,0.7930246
390.47397,222.43521,0.8260042,385.43927,229.01503,0.80010206,387.64108,259.1541,0.82112
391.72916,225.95967,0.86124104,386.04388,227.62225,0.8215191,387.91492,261.66406,0.83044475
393.011,230.12535,0.92596906,386.10233,228.95726,0.8440986,386.3971,261.65475,0.7309875
393.95026,233.14714,0.9540408,386.9673,228.85509,0.85375977,386.85898,261.2039,0.71170866
394.38348,235.67291,0.9474407,388.00696,229.3799,0.8763214,386.73328,265.5467,0.7011988
395.13336,237.73064,0.9422752,389.10352,229.8094,0.88067156,386.03436,262.67325,0.6102675
396.29288,236.71349,0.99357957,389.7554,230.22998,0.8662564,387.31137,263.81586,0.49300364
399.29056,233.16957,0.8543832,390.30597,226.95781,0.87592036,386.33435,261.15753,0.63301325
401.4836,227.6862,0.9050846,392.2789,223.40335,0.87219745,387.3864,257.24155,0.85772616
401.7099,223.38129,0.8496985,391.7025,225.8344,0.9949433,387.59238,257.19983,0.9108631
402.78635,221.62537,0.88957113,392.18872,224.99728,0.9863206,386.83966,256.25323,0.84118545
405.24185,224.52245,0.90699303,392.22693,222.01364,0.77891415,388.0639,255.81192,0.8577319
405.41205,226.26646,0.9313046,393.08936,221.53229,0.80750704,387.26733,252.93779,0.880162
