scorer,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10
bodyparts,red_light,red_light,red_light
coords,x,y,likelihood
0,304.3859,73.051445,0.9548812
1,300.76865,72.01249,0.9755211
2,293.85797,70.2735,0.95114803
3,288.0479,68.24965,1.0
4,286.5029,66.863174,1.0
5,282.84903,65.36775,1.0
6,278.59293,62.403946,0.93438655
7,275.61877,60.802555,0.95440453
8,272.7764,60.700554,0.97089326
9,273.03915,58.58576,0.94832194
10,271.7679,56.117596,0.8986157
11,271.70575,53.434788,0.98401034
12,271.37988,49.890434,1.0
13,271.7546,47.742466,0.9482845
14,271.5794,47.132584,0.9616726
15,272.17255,46.52319,0.95671105
16,274.47308,44.64469,0.981723
17,271.99973,45.912773,0.997405
18,266.42557,49.049377,1.0
19,261.07248,53.197742,0.9541878
20,265.0098,55.53085,0.878544
21,266.71964,57.46038,0.90442526
22,262.77322,58.8994,0.8882078
23,258.33646,63.392048,0.91837853
24,258.18924,62.783672,0.93343264
25,257.7435,62.00559,0.92314255
26,258.6645,63.81457,0.91370684
27,259.66626,63.25292,0.91760164
28,266.39304,63.946117,0.94647753
29,271.41193,63.062153,0.9514474
30,271.56952,63.75873,0.98733914
31,271.8501,63.858944,0.9656607
32,269.03827,66.0722,1.0
33,269.01852,68.66595,0.99466175
34,269.038,69.46051,0.98455775
35,269.09326,72.1707,0.9401289
36,269.63937,75.04944,0.93450683
37,402.13037,10.86965,0.05435658
38,244.43819,85.013016,0.022745343
39,388.43604,19.702074,0.023908507
40,388.88,18.21516,0.039967034
41,394.71875,19.693157,0.026012797
42,388.57382,19.59338,0.027859215
43,394.4105,19.296896,0.028274985
44,402.15295,10.639076,0.057348784
45,390.43527,9.672901,0.092444986
46,289.2044,89.30536,0.9311031
47,291.66302,89.96849,0.9198694
48,297.74203,92.37612,0.92388135
49,307.15826,99.22127,0.93348956
50,311.65067,105.860435,0.9011967
51,309.0641,110.421646,0.9584125
52,309.85907,111.55547,0.9390615
53,313.91187,116.15374,1.0
54,315.7119,123.73149,0.98561454
55,313.94565,129.48578,1.0
56,313.80286,134.25644,0.9930743
57,316.06543,139.03561,0.9777947
58,316.8529,139.75722,0.99446267
59,322.9517,139.97261,0.07291489
60,394.49786,19.39864,0.022218304
61,394.7475,19.611555,0.029443271
62,394.37634,19.325552,0.026551455
63,393.92725,18.260647,0.032353953
64,401.83432,10.841004,0.053520612
65,335.04163,145.46062,0.7942636
66,334.38095,146.41852,1.0
67,333.4725,146.30237,1.0
68,331.33057,144.73526,1.0
69,333.14914,143.29836,1.0
70,334.34488,146.4479,1.0
71,334.24725,157.47165,1.0
72,333.1344,163.45009,1.0
73,334.67316,165.7687,1.0
74,334.44025,166.3514,1.0
75,329.65128,166.82227,1.0
76,325.85214,167.38751,0.9494784
77,321.18323,168.49332,0.96591365
78,320.15982,170.62721,0.9733499
79,320.66013,169.9367,0.9506862
80,320.2416,168.7027,0.95174897
81,320.90002,168.83678,0.953419
82,324.7781,168.09116,0.93535817
83,328.13956,167.27983,0.963372
84,327.76654,167.72641,0.9467823
85,327.87912,168.32823,0.9404049
86,327.3029,167.20648,0.9439394
87,326.66946,167.75246,0.94800365
88,328.11948,169.26271,0.92450583
89,331.20404,169.79279,0.9582865
90,331.98703,168.24153,1.0
91,331.8012,164.495,1.0
92,331.60327,163.65103,1.0
93,331.974,164.56906,1.0
94,333.76056,166.12703,1.0
95,335.35458,168.06487,0.9778242
96,335.23895,168.88914,0.9578923
97,332.78793,171.02954,1.0
98,330.0189,172.70346,1.0
99,321.24747,175.82997,0.96048135
100,315.47272,176.19655,1.0
101,312.58438,178.73093,1.0
102,313.68375,182.22778,1.0
103,312.8765,189.32845,0.96152
104,312.6517,195.70671,1.0
105,311.3765,201.14932,0.9300401
106,312.01675,207.8618,0.9376601
107,314.26447,214.70654,1.0
108,314.69122,225.2124,1.0
109,314.66678,234.22127,0.9356928
110,315.38617,242.73932,1.0
111,317.55948,251.13168,0.98299867
112,319.38437,259.85675,1.0
113,319.2752,264.95053,0.98911905
114,317.82437,271.2512,0.99977505
115,318.21472,275.70947,1.0
116,318.7887,284.50165,0.9993707
117,318.67874,292.88696,1.0
118,315.54337,300.14932,0.9957057
119,312.054,304.7999,0.94037366
120,312.84814,305.70288,0.9909087
121,310.80396,302.1576,0.9042333
122,305.05215,300.45126,0.9901586
123,302.88315,303.13144,1.0
124,300.3287,307.90616,1.0
125,296.8315,313.55753,0.8950506
126,296.09784,317.92725,0.9136259
127,295.36786,320.28714,0.9280411
128,298.07706,321.30643,1.0
129,301.9831,323.7555,1.0
130,302.23264,330.04324,0.95670766
131,305.4746,335.7642,0.97782284
132,310.37384,339.50537,0.99917006
133,310.89734,342.81467,0.96311754
134,310.98926,345.1492,0.90880775
135,312.54193,349.33875,0.9318354
136,316.0117,351.1928,1.0
137,319.23352,351.3773,1.0
138,322.62753,348.59534,0.9742701
139,328.75818,348.0032,0.93608636
140,331.5885,346.41266,0.96787244
141,334.2031,344.24234,0.9773544
142,334.8636,343.84302,0.96645117
143,336.1132,343.92358,0.97775024
144,338.32526,343.79288,0.98150957
145,339.32245,343.53632,0.9694757
146,339.49277,343.5483,0.975232
147,339.59033,343.2088,0.9608721
148,339.22333,342.5932,0.91987866
149,339.06763,341.47443,0.88522136
150,342.62723,341.03265,0.6241455
151,342.35834,341.21066,0.6743947
152,341.5187,341.16534,0.8319069
153,339.518,340.98523,0.58659184
154,339.53406,338.06854,0.9374399
155,348.03784,330.80478,0.99855524
156,350.88718,321.58783,1.0
