frame,cell_0_derivative,cell_1_derivative,cell_2_derivative,cell_4_derivative
0,-0.00012104064544764643,-4.577487756446952e-08,2.1836933729430038e-10,1.1984815320514866e-11
1,-0.00020000933804698566,-6.307798243246055e-08,2.925800485617342e-10,3.346353241060957e-11
2,-0.00029419481984505546,-7.904222886359952e-08,3.5569742664049616e-10,6.416282055770993e-11
3,-0.0003930233900997904,-8.871180238140023e-08,3.83444740502922e-10,1.0407650579099067e-10
4,-0.0004762568098017567,-8.465720010348792e-08,3.405282154852875e-10,1.5095695106447963e-10
5,-0.0005111009405712671,-5.6781141602490055e-08,1.8030782394036912e-10,1.9905075452997003e-10
6,-0.00045002730682007085,7.384723572636449e-09,-1.5304382695098333e-10,2.3766450872369766e-10
7,-0.00023041196205813002,1.2156804029464447e-07,-7.184095263823951e-10,2.4977151833557613e-10
8,0.0002224533308062323,2.984406340322028e-07,-1.565902725451702e-09,2.1103071934451804e-10
9,0.0009869855373976306,5.456903542752177e-07,-2.7176235398255385e-09,8.9788749442625e-11
10,0.002129271891904442,8.601308710923428e-07,-4.139675726993003e-09,-1.51141500883279e-10
11,0.003677074022978488,1.2196948415569633e-06,-5.705180349435043e-09,-5.499231440145931e-10
12,0.005582144293740153,1.5735447858309956e-06,-7.1499936836558185e-09,-1.1372205721889397e-09
13,0.007670563627464233,1.8311820883575908e-06,-8.02598647405215e-09,-1.9227019931730726e-09
14,0.009583482718263214,1.8523885895501278e-06,-7.661255327569952e-09,-2.8757397269605973e-09
15,0.010787468521650013,1.4411143643285493e-06,-5.142520825747844e-09,-3.9003076652024595e-09
16,0.010822677729198912,3.4798151296966527e-07,6.581010352257452e-10,-4.805483251168937e-09
17,0.009668417984846252,-1.7122468650246448e-06,1.0982623293595538e-08,-5.2751645410764e-09
18,0.007764634453198499,-5.020389076870661e-06,2.6977883981056037e-08,-4.843718716958498e-09
19,0.005655174919324227,-9.781118118474139e-06,4.934034289203156e-08,-2.888261805483552e-09
20,0.003715212083404029,-1.601180186676204e-05,7.778338825097762e-08,1.3471279276241348e-09
21,0.002129556385487702,-2.3387050700510188e-05,1.1031313433882112e-07,8.675355472175675e-09
22,0.0009528788701184399,-3.104093984487593e-05,1.4233385397482505e-07,1.9815014685486387e-08
23,0.00016050675390279212,-3.7340735205271695e-05,1.6566261237598958e-07,3.513982412980476e-08
24,-0.0003128180363587696,-3.966403384941682e-05,1.676189520453057e-07,5.430945496348938e-08
25,-0.0005460448202999346,-3.423616773127013e-05,1.304711752882449e-07,7.577558637502972e-08
26,-0.000615095906260521,-1.6115994030874273e-05,3.166155004943466e-08,9.618233082280464e-08
27,-0.0005840233301645098,2.054666626554583e-05,-1.5461529105423685e-07,1.0972126559533609e-07
28,-0.0005017101259053858,8.182508729703811e-05,-4.5377124347814954e-07,1.075609621009372e-07
29,-0.000402082199004547,0.0001727216949741395,-8.843391636440075e-07,7.754962719176162e-08
30,-0.00030623407620589127,0.00029508925856211297,-1.4479202706305607e-06,4.4835506438838056e-09
31,-0.00022532812039427474,0.00044463804802359586,-2.1151242892220258e-06,-1.2866694525488337e-07
32,-0.00016353241614745773,0.0006070173424555451,-2.807679275542636e-06,-3.380984892919399e-07
33,-0.00012058562608668888,0.0007531749662914868,-3.3779606130688433e-06,-6.345708529142728e-07
34,-9.38111661455826e-05,0.0008345382197770569,-3.588823956054068e-06,-1.0164054705978918e-06
35,-7.955639306615747e-05,0.0007790416543862135,-3.0988823978861757e-06,-1.4598496909676509e-06
36,-7.412058949674005e-05,0.0004896495873012731,-1.4611971894320854e-06,-1.9070185010879159e-06
37,-7.42756763162794e-05,-0.0001522536937394953,1.8534696243621481e-06,-2.252384419900944e-06
38,-7.749178595647943e-05,-0.0012754985416806833,7.394652246695172e-06,-2.3299224138209352e-06
39,-8.19692353287299e-05,-0.002996108482909932,1.561518852534217e-05,-1.9045588526750528e-06
40,-8.655883480038207e-05,-0.0053787988018046155,2.6683233006205634e-05,-6.734752156186822e-07
41,-9.06304900857996e-05,-0.008379841001705723,4.021157961094924e-05,1.7150928013581572e-06
42,-9.392969465257806e-05,-0.01177011496437328,5.490322435061759e-05,5.615997193410331e-06
43,-9.644478839770931e-05,-0.015041028081313773,6.81315647136104e-05,1.1303542642661687e-05
44,-9.829544113344746e-05,-0.017302302425897545,7.550435117656149e-05,1.883987167817779e-05
45,-9.964455828417873e-05,-0.017189872577048862,7.050410748877785e-05,2.7888574321964763e-05
46,-0.00010063114397229622,-0.012814412435789915,4.435403899161064e-05,3.7474534338842095e-05
47,-0.0001013199059277381,-0.0017957896972564946,-1.3675957692427037e-05,4.570489064393715e-05
48,-0.00010166389284711752,0.018555533564509646,-0.00011524210317230614,4.948744386186867e-05
49,-0.0001014786640291393,0.05083553334842189,-0.0002708453691534252,4.431279228383079e-05
50,-0.0001004299425435562,0.09684099455205308,-0.00048634993898082177,2.4204533645898305e-05
51,-9.804096472859625e-05,0.15648810744645497,-0.000757815968267536,-1.8014678045970506e-05
52,-9.37303015280111e-05,0.22631434951822016,-0.0010645397202007482,-8.995076400493851e-05
53,-8.68950747412306e-05,0.29759079887859574,-0.0013605429128232828,-0.0001981381919997258
54,-7.705716289210796e-05,0.35524870737959613,-0.0015653247842226017,-0.0003455888287940686
55,-6.408966399594485e-05,0.38109871394623696,-0.001555526185529314,-0.0005282166376772797
56,-4.85355083027772e-05,0.36274798455769575,-0.0011602653606827022,-0.0007300983194843073
57,-3.20171648336004e-05,0.30205233498039274,-0.00016424214464331836,-0.0009177803121913535
58,-1.7713068738794968e-05,0.2146849185305575,0.0016758703554109206,-0.0010342439245781682
59,-1.0840123108230015e-05,0.12093478877908481,0.004594996318647541,-0.0009937173252938356
60,-1.9030815317261363e-05,0.036451102834152316,0.00875585279090809,-0.0006792773802200688
61,-5.242876441320654e-05,-0.030724776537231602,0.014151153068228863,5.3923965994560376e-05
62,-0.00012325237211294193,-0.07851069267725652,0.020468108120186984,0.0013660503970863566
63,-0.0002445030713509183,-0.1083989671181107,0.026942662718190062,0.003406073391391356
64,-0.0004274409819894215,-0.12365710581718004,0.03237297201463221,0.006266577527706431
65,-0.0006774453488138099,-0.12809402499650657,0.035500753646579813,0.009915759941844893
66,-0.0009879602154995448,-0.12530483668887493,0.0355661569992205,0.014104714459920939
67,-0.0013324486717112421,-0.11828181751144107,0.03258383960294017,0.018252547950793632
68,-0.0016547004756592154,-0.10928021267156662,0.02726644733661515,0.021352664082188354
69,-0.0018585159405470064,-0.09984304884000994,0.020758435136339765,0.022239760140668433
70,-0.0017987662991929554,-0.09091058542258446,0.014234825407844043,0.0204299742361901
71,-0.0012771117292212364,-0.08296189165542756,0.008535679410825225,0.01659781819189292
72,-4.7177091514347125e-05,-0.07615518202085436,0.004063783784794384,0.011942472224700657
73,0.0021644343556061624,-0.0704486156915598,0.0008976939106465909,0.00739587409612491
74,0.005613601468147655,-0.06569406194432781,-0.0010637158758019516,0.003471962679346241
75,0.010462434819503194,-0.06170331359913317,-0.001996334977149461,0.0004066365322118459
76,0.016664218024085894,-0.05829016197089576,-0.0020839459046511077,-0.0017180527371697951
77,0.02385600589623786,-0.055293463567200885,-0.0014847572325103475,-0.002875185048762885
78,0.03138168068120274,-0.05258658965604457,-0.00032589540640270975,-0.0030240174727107216
79,0.03846273638479908,-0.05007807020360566,0.001279211416801429,-0.002072792049704536
80,0.044362571967835523,-0.04770727686297194,0.003194984309522253,0.0001247601216534111
81,0.0484612225706362,-0.04543793848419686,0.0052136605534932046,0.0037361708393152115
82,0.05029315849287763,-0.043251325878751135,0.006996311053653725,0.008876017203675618
83,0.0495882661252286,-0.04114016658127295,0.008083967948489923,0.015486483522648892
84,0.046317515477979965,-0.039103778569245184,0.008120127591043136,0.02317091469802532
85,0.04074065952293904,-0.0371445298843599,0.00714067780487454,0.03098495806708465
86,0.0334519983005272,-0.03526550537426465,0.005546192786921866,0.037309662362363966
87,0.025365732001887298,-0.033469152832129034,0.0037930194727045508,0.04022650245939596
88,0.01751964918667981,-0.03175665111285686,0.0021878419903304525,0.03860923278882972
89,0.01074270449897452,-0.030127760937137427,0.0008804645245776843,0.03302601084878137
90,0.005451533863893188,-0.028580961255621595,-8.622236038402509e-05,0.025314440595865517
91,0.001690843095854877,-0.027113723839495063,-0.0007342396799079332,0.017342745725800524
92,-0.0007210711202354503,-0.025722826094291218,-0.0011185647281791722,0.01029926215895638
93,-0.0020667543929676624,-0.02440464170572265,-0.001305025542445326,0.0047168052314331965
94,-0.0026463459164823844,-0.023155378748574706,-0.00135661347272098,0.0006939603389584659
95,-0.002728795397854089,-0.021971255574875836,-0.0013262913443712332,-0.0019241721318224436
96,-0.002528558008633164,-0.02084861753921563,-0.0012543613014274202,-0.0034119363922787693
97,-0.0021993811168924404,-0.019784004254945475,-0.0011687089760614167,-0.004072921042611255
98,-0.0018382941882562065,-0.018774179441767624,-0.0010866064120084173,-0.004186127160589914
99,-0.0014947256517141572,-0.017816135112340814,-0.0010171354659465615,-0.00397948691711103
100,-0.0011814356139810966,-0.016907080092243065,-0.0009636292341795305,-0.003622070617425366
101,-0.0008854752031834945,-0.01604442055298927,-0.0009257957059674582,-0.0032276800252873383
102,-0.0005785780416164288,-0.015225737923530325,-0.0009013803963878186,-0.0028642587879125214
103,-0.00022723655017398148,-0.014448767542492136,-0.0008873503800920779,-0.002565257380734709
104,0.00019677982392785065,-0.013711379851482908,-0.000880653911076279,-0.002340552820083941
105,0.0007045437368021767,-0.01301156482184998,-0.0008786421023607716,-0.0021856549047555296
106,0.001275999919690518,-0.01234741959937502,-0.0008792452602474632,-0.002088727015702896
107,0.0018437727622974132,-0.011717138960009477,-0.0008809873355395403,-0.0020354533983193424
108,0.0022783769578884616,-0.011119008006121728,-0.0008829057142858421,-0.0020120593935569198
109,0.0024210471532993827,-0.010551396517173628,-0.000884425764259178,-0.002006901989186849
110,0.002200761941495988,-0.010012754437288135,-0.0008852235560111721,-0.0020110537255221828
111,0.0017072783986719076,-0.009501608088116481,-0.0008850977243434754,-0.0020182499170245394
112,0.0011062700036621465,-0.00901655680790256,-0.0008838631157693788,-0.0020244910175289954
113,0.0005265918156994731,-0.008556269818716794,-0.0008812745176896564,-0.0020275107875211695
114,3.667262843598529e-05,-0.008119483205085376,-0.0008769877463764009,-0.0020262492798858167
115,-0.0003376749138479518,-0.007704996946681253,-0.0008705667195725297,-0.0020204130873569537
116,-0.0005976753027114867,-0.007311671987193985,-0.0008615476159420377,-0.002010164555448668
117,-0.0007593374710347378,-0.0069384273446473355,-0.0008495732885775431,-0.001995954578672021
118,-0.0008446881867726352,-0.006584237279512864,-0.000834610858974516,-0.00197849640332598
119,-0.0008761126137503128,-0.006248128539931827,-0.0008172605854023796,-0.001958866157390937
120,-0.0008731763383875712,-0.00592917770148535,-0.0007991520430442045,-0.0019387052118730597
121,-0.0008512510398478446,-0.005626508614699918,-0.0007834015941641792,-0.0019204859908474314
122,-0.0008213284876883442,-0.005339289968523911,-0.000775070578579673,-0.001907783390184159
123,-0.0007905248797093201,-0.005066732973378257,-0.0007815151832232803,-0.0019054667865686659
124,-0.0007629090394234428,-0.0048080891635913225,-0.0008124573210361863,-0.0019196929790756267
125,-0.0007404090335549895,-0.004562648316246809,-0.0008795355987575859,-0.0019575414579654504
126,-0.0007236498169097549,-0.0043297364816616835,-0.0009950268185283662,-0.0020260972626113816
127,-0.0007126454109747105,-0.004108714119712933,-0.0011693795039093846,-0.002130765619210717
128,-0.0007073139663635875,-0.0038989743358512213,-0.0014071995000135562,-0.002272614887654123
129,-0.0007078068581736208,-0.0036999412106817203,-0.0017014125138675729,-0.0024446149336096457
130,-0.0007146491187631776,-0.003511068217292579,-0.0020255486051352634,-0.0026267973970878766
131,-0.0007286839854330207,-0.0033318367209422273,-0.0023245049413920804,-0.002780645857597519
132,-0.0007508053539537762,-0.0031617545561871477,-0.0025048001057184077,-0.002843458149738909
133,-0.0007814550138929288,-0.0030003546769878445,-0.002426274779728621,-0.002724028085211272
134,-0.0008198637238573392,-0.0028471938757393678,-0.0018984209504221417,-0.0023017606358520237
135,-0.0008630340951297777,-0.0027018515675243243,-0.0006859677603348047,-0.0014322077268943967
136,-0.0009045069317455967,-0.002563928636179963,0.001470157687595286,3.713495740836903e-05
137,-0.0009330288273861065,-0.002433046339013298,0.004809167839044282,0.0022363195184484375
138,-0.0009313532614504405,-0.0023088452671990722,0.009476317950393165,0.005223252271736201
139,-0.0008755615216757828,-0.002190984359064785,0.015411785847889492,0.008911386047431136
140,-0.0007354766463825158,-0.002079139963613301,0.02219960469682125,0.012974089380691833
141,-0.0004769432374984728,-0.0019730049517640014,0.02889402931048729,0.016730071962578696
142,-6.691956671223132e-05,-0.0018722878729133668,0.034020178180343696,0.019158887363689425
143,0.0005175877626849568,-0.0017767121545284592,0.036078800807583244,0.019357100590523812
144,0.0012758152556092694,-0.0016860153425947155,0.03438378086435895,0.017223434440094276
145,0.0021642340346680333,-0.0015999483808428784,0.029491340866198812,0.013543508198104903
146,0.0030725760821374015,-0.0015182749267805967,0.02282469772392076,0.009366291584117226
147,0.003796704673651008,-0.0014407707026512784,0.01588384306613788,0.005464754254659865
148,0.00407956342183613,-0.0013672228795361847,0.009701496728951264,0.0022414453003257173
149,0.0037933003273002974,-0.0012974294929058612,0.004769627129263432,-0.00017200389193783305
150,0.0030662063740888312,-0.0012311988880131762,0.0011925020073088044,-0.001811528907996185
151,0.002155060774842177,-0.0011683491936023242,-0.0011541156526236884,-0.002800949353362392
152,0.001262729079310243,-0.0011087078224864474,-0.0025042042412897203,-0.0032960809725149365
153,0.0004972999804934153,-0.0010521109976209947,-0.003121038813739263,-0.0034495178944621285
154,-0.00010056012005654758,-0.0009984033023702488,-0.0032487498392755887,-0.003391580331734867
155,-0.0005332900331992407,-0.0009474372537315312,-0.0030880937644579554,-0.003222764618883045
156,-0.0008268759457178421,-0.0008990728973448589,-0.002788873157412497,-0.0030135710125551163
157,-0.001016292066998714,-0.0008531774231758417,-0.0024525865826562354,-0.002808436509163903
158,-0.0011353300461784954,-0.0008096248008165521,-0.0021403824144815564,-0.002631410717959637
159,-0.0012098429720265313,-0.0007682954334029754,-0.0018828787614978415,-0.002492033916859482
160,-0.0012534126649430544,-0.0007290758291988511,-0.00168969642158312,-0.002390537622027622
161,-0.0012646682248621532,-0.0006918582899441503,-0.0015575515547237018,-0.002321971954589608
162,-0.0012258568535683523,-0.000656540615112439,-0.0014764626113363821,-0.0022791849838404987
163,-0.0011027349249836949,-0.0006230258212651194,-0.0014340773939692797,-0.0022547668158429124
164,-0.0008463597063295136,-0.0005912218757318857,-0.0014183750686066476,-0.0022421598405347187
165,-0.0003978686541179499,-0.0005610414438861049,-0.0014191016928942757,-0.0022361585474272583
166,0.0003022363820688323,-0.0005324016493211212,-0.001428307667912132,-0.0022330044891142875
167,0.0012985328082301129,-0.0005052238462689464,-0.0014403125665403138,-0.002230244499867584
168,0.0025971630464991513,-0.00047943340363639647,-0.0014513570165358702,-0.002226476969831248
169,0.004133292676150591,-0.0004549595000656048,-0.001459132455959855,-0.0022210702558855266
170,0.0057298710799922326,-0.0004317349294561991,-0.0014623189547708915,-0.002213903490395519
171,0.007063894961126693,-0.0004096959164150635,-0.0014602138778174734,-0.0022051545881097145
172,0.007727267552464889,-0.0003887819411269571,-0.0014525004609488024,-0.0021951428343425783
173,0.0074601265963237795,-0.0003689355731650813,-0.0014391829719682114,-0.002184222809732017
174,0.006364888285748438,-0.0003501023137852414,-0.001420699836424566,-0.002172720962530683
175,0.004820167412545429,-0.0003322304462705511,-0.0013982127443930015,-0.002160904294021826
176,0.003211440378807051,-0.00031527089391572994,-0.001374052735703235,-0.0021489710163097864
177,0.0017834719940565957,-0.00029917708526099995,-0.001352278129030493,-0.0021370546213003716
178,0.0006474096447575128,-0.0002839048262055239,-0.0013392592242384982,-0.002125234823276423
179,-0.00017445133716875727,-0.0002694121786491546,-0.0013441479728041883,-0.0021135508349770515
180,-0.0007119686139603898,-0.00025565934532925747,-0.001379017329993515,-0.0021020141519240143
181,-0.0010198448549211259,-0.00024260856053632662,-0.0014583697215349578,-0.002090619347904721
182,-0.0011591826867957122,-0.000230223986408277,-0.0015976291329000136,-0.0020793523203895825
183,-0.0011864202195949192,-0.0002184716145186309,-0.0018101687078025952,-0.002068196017821433
184,-0.0011478359083094691,-0.00020731917248833966,-0.0021024195720892314,-0.002057134004594896
185,-0.0010778727820820455,-0.00019673603536478563,-0.002466704713426804,-0.002046152350966002
186,-0.0009998009688813037,-0.00018669314152462658,-0.0028717050869280225,-0.002035240342401101
187,-0.0009275850962320309,-0.00017716291286953931,-0.0032509635391388403,-0.0020243904405015667
188,-0.0008681676778550251,-0.00016811917909574734,-0.0034906346992562565,-0.002013597835093639
189,-0.0008236761163972206,-0.00015953710582939295,-0.0034188465525251677,-0.0020028598302683776
190,-0.0007932910732662002,-0.00015139312643042873,-0.0028005576984904135,-0.001992175220997483
191,-0.0007746764172340548,-0.0001436648772777699,-0.0013435960323993634,-0.0019815437482439413
192,-0.000764974153393938,-0.00013633113635804156,0.0012765587152065438,-0.001970965670669844
193,-0.0007614242612510314,-0.00012937176498926777,0.005364129514863258,-0.00196044145836366
194,-0.0007616924929134683,-0.00012276765251949132,0.011112814317937869,-0.0019499715952002172
195,-0.0007639907483156794,-0.00011650066384845783,0.018469530780325816,-0.001939556467837611
196,-0.0007670641472603545,-0.00011055358962824662,0.02694804064490286,-0.0019291963175485094
197,-0.0007701032895435223,-0.00010491009900607823,0.03550299327684625,-0.001918891233279152
198,-0.0007726240340710788,-9.955469477950668e-05,0.04272541287598719,-0.0019086411684481885
199,-0.0007743431373925524,-9.447267084083293e-05,0.04735040541702107,-0.0018984459686293143
200,-0.0007750675582046673,-8.965007179385226e-05,0.04865981149820786,-0.0018883054015509937
201,-0.0007746084636731654,-8.507365463202585e-05,0.04655690269279733,-0.001878219184377694
202,-0.0007727276308536757,-8.0730852372829e-05,0.04146724734494689,-0.0018681870058668837
203,-0.0007691232713830098,-7.660973954839805e-05,0.03421118123545719,-0.0018582085427819028
204,-0.0007634632749438097,-7.26989994577151e-05,0.025864514145966244,-0.001848283471008294
205,-0.0007554751660531211,-6.898789309040107e-05,0.017563083833520454,-0.0018384114723502543
206,-0.000745102132786557,-6.546622963679626e-05,0.010239754944121882,-0.0018285922381316433
207,-0.0007327314655715123,-6.21243385033679e-05,0.004427999011694217,-0.0018188254706368867
208,-0.000719493534874216,-5.895304275662684e-05,0.0002667880016153923,-0.0018091108832000158
209,-0.0007076138121552278,-5.594363392267079e-05,-0.0023591907908441234,-0.0017994481994645373
210,-0.000700775354366967,-5.3087848073178796e-05,-0.00368178658448326,-0.0017898371520389533
211,-0.0007044133084549431,-5.037784313223037e-05,-0.003959777227921957,-0.0017802774804966393
212,-0.0007258165922068294,-4.7806177341649676e-05,-0.0034313051101391157,-0.001770768928434363
