frame,cell_0,cell_1,cell_2,cell_4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.03562294286499005,0.0,0.0,0.0
17,0.07692017308774202,0.0,0.0,0.0
18,0.07681935426924276,0.0,0.0,0.0
19,0.07671866744677845,0.0,0.0,0.0
20,0.07661811257031496,0.0,0.0,0.0
21,0.07651768948282561,0.0,0.0,0.0
22,0.07641739801598157,0.0,0.0,0.0
23,0.07631723799897634,0.0,0.0,0.0
24,0.07621720926033207,0.0,0.0,0.0
25,0.07611731162843424,0.0,0.0,0.0
26,0.0760175449317304,0.0,0.0,0.0
27,0.07591790899881785,0.0,0.0,0.0
28,0.0758184036584887,0.0,0.0,0.0
29,0.075719028739756,0.0,0.0,0.0
30,0.07561978407186701,0.0,0.0,0.0
31,0.07552066948429663,0.0,0.0,0.0
32,0.07542168480669728,0.0,0.0,0.0
33,0.07532282986877466,0.0,0.0,0.0
34,0.075224104500129,0.0,0.0,0.0
35,0.07512550853027603,0.0,0.0,0.0
36,0.07502704178898971,0.0,0.0,0.0
37,0.0749287041066214,0.0,0.0,0.0
38,0.07483049531407376,0.0,0.0,0.0
39,0.07473241524261058,0.0,0.0,0.0
40,0.07463446372372588,0.0,0.0,0.0
41,0.07453664058909727,0.0,0.0,0.0
42,0.07443894567058149,0.0,0.0,0.0
43,0.07434137880022243,0.0,0.0,0.0
44,0.07424393981026038,0.0,0.0,0.0
45,0.07414662853313954,0.0,0.0,0.0
46,0.07404944480151307,0.0,0.0,0.0
47,0.07395238844824693,0.0,0.0,0.0
48,0.0738554593064221,0.0,0.0,0.0
49,0.07375865720933653,0.0,0.0,0.0
50,0.07366198199050637,0.0,0.0,0.0
51,0.07356543348366722,0.0,0.0,0.0
52,0.0734690115227751,0.0,0.0,0.0
53,0.07337271594200753,0.0,0.0,0.0
54,0.07327654657576453,0.0,0.0,0.0
55,0.07318050325866965,0.5204499059963765,0.0,0.0
56,0.0730845858255709,1.5592652282354442,0.0,0.0
57,0.07298879411154191,2.5562997442561697,0.0,0.0
58,0.07289312795188296,2.992017364286564,0.0,0.0
59,0.07279758718212224,2.8392821913363493,0.0,0.0
60,0.07270217163801695,2.6943437747220753,0.0,0.0
61,0.07260688115555443,2.5568041098986045,0.0,0.0
