camNum	frameNum	sysClock	buffer
0	1	639460090	2
2	1	639460109	1
0	2	7	1
2	2	42	1
0	3	43	1
0	4	73	1
2	3	73	1
0	5	101	1
2	4	103	1
2	5	134	1
0	6	133	1
2	6	166	1
0	7	167	1
2	7	198	1
0	8	200	1
2	8	230	1
0	9	234	1
2	9	262	1
0	10	267	1
2	10	294	1
0	11	300	1
2	11	326	1
0	12	333	1
0	13	366	1
2	12	357	1
0	14	400	1
2	13	405	1
0	15	434	1
2	14	438	1
0	16	467	1
2	15	470	1
0	17	501	1
2	16	502	1
2	17	534	1
0	18	534	1
2	18	567	1
0	19	568	1
2	19	598	1
0	20	600	1
2	20	630	1
0	21	634	1
2	21	662	1
0	22	667	1
2	22	694	1
0	23	702	1
2	23	726	1
0	24	733	1
0	25	766	1
2	24	758	1
0	26	800	1
2	25	805	1
0	27	834	1
2	26	838	1
0	28	867	1
2	27	870	1
0	29	901	1
2	28	902	1
2	29	934	1
0	30	934	1
2	30	966	1
0	31	967	1
2	31	998	1
0	32	1002	1
2	32	1030	1
0	33	1035	1
2	33	1062	1
0	34	1068	1
2	34	1095	1
0	35	1102	1
0	36	1134	1
2	35	1126	1
0	37	1167	1
2	36	1174	1
0	38	1201	1
2	37	1206	1
0	39	1234	1
2	38	1238	1
0	40	1267	1
2	39	1270	1
0	41	1301	1
2	40	1302	1
2	41	1335	1
0	42	1335	1
2	42	1367	1
0	43	1368	1
2	43	1398	1
0	44	1402	1
2	44	1430	1
0	45	1435	1
2	45	1462	1
0	46	1468	1
2	46	1494	1
0	47	1502	1
0	48	1536	1
2	47	1527	1
0	49	1569	1
2	48	1574	1
0	50	1602	1
2	49	1606	1
0	51	1634	1
2	50	1638	1
0	52	1669	1
2	51	1670	1
2	52	1702	1
0	53	1702	1
2	53	1734	1
0	54	1735	1
2	54	1767	1
0	55	1769	1
2	55	1798	1
0	56	1802	1
2	56	1830	1
0	57	1835	1
2	57	1862	1
0	58	1868	1
0	59	1901	1
2	58	1893	1
0	60	1934	1
2	59	1942	1
0	61	1968	1
2	60	1973	1
0	62	2001	1
2	61	2006	1
0	63	2034	1
2	62	2038	1
2	63	2070	1
0	64	2067	1
2	64	2102	1
0	65	2103	1
2	65	2134	1
0	66	2136	1
2	66	2167	1
0	67	2169	1
2	67	2198	1
0	68	2202	1
2	68	2230	1
0	69	2235	1
0	70	2268	1
2	69	2262	1
0	71	2301	1
2	70	2309	1
0	72	2335	1
2	71	2344	1
0	73	2371	1
2	72	2376	1
0	74	2404	1
2	73	2407	1
0	75	2436	1
2	74	2438	1
0	76	2468	1
2	75	2470	1
2	76	2502	1
0	77	2501	1
2	77	2535	1
0	78	2535	1
2	78	2567	1
0	79	2568	1
2	79	2598	1
0	80	2602	1
2	80	2630	1
0	81	2635	1
0	82	2669	1
2	81	2662	1
0	83	2701	1
2	82	2709	1
0	84	2737	1
2	83	2742	1
0	85	2769	1
2	84	2774	1
0	86	2802	1
2	85	2806	1
0	87	2835	1
2	86	2838	1
0	88	2868	1
2	87	2870	1
2	88	2902	1
0	89	2902	1
2	89	2934	1
0	90	2935	1
2	90	2968	1
0	91	2972	1
2	91	2998	1
0	92	3002	1
0	93	3035	1
2	92	3030	1
0	94	3068	1
2	93	3078	1
0	95	3105	1
2	94	3112	1
0	96	3139	1
2	95	3144	1
0	97	3172	1
2	96	3175	1
0	98	3204	1
2	97	3207	1
2	98	3239	1
0	99	3237	1
2	99	3272	1
0	100	3272	1
2	100	3304	1
0	101	3305	1
2	101	3334	1
0	102	3336	1
2	102	3367	1
0	103	3371	1
2	103	3399	1
0	104	3403	1
0	105	3438	1
2	104	3431	1
0	106	3468	1
2	105	3478	1
0	107	3501	1
2	106	3509	1
0	108	3535	1
2	107	3542	1
0	109	3569	1
2	108	3574	1
0	110	3602	1
2	109	3606	1
0	111	3636	1
2	110	3638	1
2	111	3671	1
0	112	3670	1
2	112	3704	1
0	113	3706	1
2	113	3734	1
0	114	3736	1
2	114	3766	1
0	115	3768	1
0	116	3802	1
2	115	3798	1
0	117	3835	1
2	116	3846	1
0	118	3868	1
2	117	3878	1
0	119	3902	1
2	118	3909	1
0	120	3935	1
2	119	3941	1
0	121	3969	1
2	120	3974	1
0	122	4002	1
2	121	4006	1
0	123	4035	1
2	122	4038	1
0	124	4068	1
2	123	4070	1
2	124	4102	1
0	125	4102	1
2	125	4134	1
0	126	4135	1
2	126	4167	1
0	127	4169	1
0	128	4203	1
2	127	4199	1
0	129	4236	1
2	128	4246	1
0	130	4269	1
2	129	4279	1
0	131	4302	1
2	130	4310	1
0	132	4335	1
2	131	4342	1
0	133	4369	1
2	132	4374	1
0	134	4402	1
2	133	4406	1
0	135	4436	1
2	134	4438	1
2	135	4470	1
0	136	4469	1
2	136	4502	1
0	137	4502	1
2	137	4534	1
0	138	4535	1
0	139	4569	1
2	138	4566	1
0	140	4602	1
2	139	4614	1
0	141	4636	1
2	140	4646	1
0	142	4669	1
2	141	4678	1
0	143	4702	1
2	142	4709	1
0	144	4735	1
2	143	4742	1
0	145	4771	1
2	144	4775	1
0	146	4802	1
2	145	4806	1
0	147	4835	1
2	146	4838	1
2	147	4870	1
0	148	4869	1
2	148	4902	1
0	149	4902	1
0	150	4936	1
2	149	4934	1
0	151	4970	1
2	150	4982	1
0	152	5003	1
2	151	5014	1
0	153	5038	1
2	152	5047	1
0	154	5071	1
2	153	5079	1
0	155	5106	1
2	154	5111	1
0	156	5140	1
2	155	5144	1
0	157	5172	1
2	156	5175	1
0	158	5205	1
2	157	5207	1
0	159	5237	1
2	158	5238	1
2	159	5270	1
0	160	5270	1
2	160	5302	1
0	161	5303	1
0	162	5337	1
2	161	5334	1
0	163	5369	1
2	162	5382	1
0	164	5402	1
2	163	5413	1
0	165	5436	1
2	164	5445	1
0	166	5469	1
2	165	5478	1
0	167	5502	1
2	166	5510	1
0	168	5536	1
2	167	5542	1
0	169	5570	1
2	168	5574	1
0	170	5603	1
2	169	5606	1
0	171	5636	1
2	170	5638	1
2	171	5670	1
0	172	5669	1
0	173	5703	1
2	172	5702	1
0	174	5737	1
2	173	5751	1
0	175	5773	1
2	174	5783	1
0	176	5804	1
2	175	5814	1
0	177	5837	1
2	176	5846	1
0	178	5869	1
2	177	5878	1
0	179	5903	1
2	178	5910	1
0	180	5936	1
2	179	5942	1
0	181	5970	1
2	180	5974	1
0	182	6003	1
2	181	6006	1
0	183	6036	1
2	182	6038	1
2	183	6070	1
0	184	6069	1
0	185	6103	1
2	184	6102	1
0	186	6136	1
2	185	6150	1
0	187	6170	1
2	186	6182	1
0	188	6203	1
2	187	6214	1
0	189	6236	1
2	188	6245	1
0	190	6270	1
2	189	6278	1
0	191	6303	1
2	190	6309	1
0	192	6336	1
2	191	6342	1
0	193	6370	1
2	192	6374	1
0	194	6403	1
2	193	6406	1
2	194	6438	1
0	195	6437	1
0	196	6470	1
2	195	6470	1
0	197	6503	1
2	196	6518	1
0	198	6537	1
2	197	6550	1
0	199	6570	1
2	198	6581	1
0	200	6603	1
2	199	6614	1
0	201	6637	1
2	200	6646	1
0	202	6670	1
2	201	6677	1
0	203	6703	1
2	202	6709	1
0	204	6737	1
2	203	6742	1
0	205	6770	1
2	204	6774	1
0	206	6804	1
2	205	6806	1
2	206	6838	1
0	207	6838	1
0	208	6870	1
2	207	6870	1
0	209	6904	1
