framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
1,1.0,639460090.0,1,639460109
2,2.0,7.0,2,42
3,3.0,43.0,3,73
4,4.0,73.0,4,103
5,5.0,101.0,5,134
6,6.0,133.0,6,166
7,7.0,167.0,7,198
8,8.0,200.0,8,230
9,9.0,234.0,9,262
10,10.0,267.0,10,294
11,11.0,300.0,11,326
12,12.0,333.0,12,357
13,13.0,366.0,13,405
14,14.0,400.0,14,438
15,15.0,434.0,15,470
16,16.0,467.0,16,502
17,17.0,501.0,17,534
18,18.0,534.0,18,567
19,19.0,568.0,19,598
20,20.0,600.0,20,630
21,21.0,634.0,21,662
22,22.0,667.0,22,694
23,23.0,702.0,23,726
24,24.0,733.0,24,758
25,25.0,766.0,25,805
26,26.0,800.0,26,838
27,27.0,834.0,27,870
28,28.0,867.0,28,902
29,29.0,901.0,29,934
30,30.0,934.0,30,966
31,31.0,967.0,31,998
32,32.0,1002.0,32,1030
33,33.0,1035.0,33,1062
34,34.0,1068.0,34,1095
35,35.0,1102.0,35,1126
36,36.0,1134.0,36,1174
37,37.0,1167.0,37,1206
38,38.0,1201.0,38,1238
39,39.0,1234.0,39,1270
40,40.0,1267.0,40,1302
41,41.0,1301.0,41,1335
42,42.0,1335.0,42,1367
43,43.0,1368.0,43,1398
44,44.0,1402.0,44,1430
45,45.0,1435.0,45,1462
46,46.0,1468.0,46,1494
47,47.0,1502.0,47,1527
48,48.0,1536.0,48,1574
49,49.0,1569.0,49,1606
50,50.0,1602.0,50,1638
51,51.0,1634.0,51,1670
52,52.0,1669.0,52,1702
53,53.0,1702.0,53,1734
54,54.0,1735.0,54,1767
55,55.0,1769.0,55,1798
56,56.0,1802.0,56,1830
57,57.0,1835.0,57,1862
58,58.0,1868.0,58,1893
59,59.0,1901.0,59,1942
60,60.0,1934.0,60,1973
61,61.0,1968.0,61,2006
62,62.0,2001.0,62,2038
63,63.0,2034.0,63,2070
64,64.0,2067.0,64,2102
65,65.0,2103.0,65,2134
66,66.0,2136.0,66,2167
67,67.0,2169.0,67,2198
68,68.0,2202.0,68,2230
69,69.0,2235.0,69,2262
70,70.0,2268.0,70,2309
71,71.0,2301.0,71,2344
72,72.0,2335.0,72,2376
73,73.0,2371.0,73,2407
74,74.0,2404.0,74,2438
75,75.0,2436.0,75,2470
76,76.0,2468.0,76,2502
77,77.0,2501.0,77,2535
78,78.0,2535.0,78,2567
79,79.0,2568.0,79,2598
80,80.0,2602.0,80,2630
81,81.0,2635.0,81,2662
82,82.0,2669.0,82,2709
83,83.0,2701.0,83,2742
84,84.0,2737.0,84,2774
85,85.0,2769.0,85,2806
86,86.0,2802.0,86,2838
87,87.0,2835.0,87,2870
88,88.0,2868.0,88,2902
89,89.0,2902.0,89,2934
90,90.0,2935.0,90,2968
91,91.0,2972.0,91,2998
92,92.0,3002.0,92,3030
93,93.0,3035.0,93,3078
94,94.0,3068.0,94,3112
95,95.0,3105.0,95,3144
96,96.0,3139.0,96,3175
97,97.0,3172.0,97,3207
98,98.0,3204.0,98,3239
99,99.0,3237.0,99,3272
100,100.0,3272.0,100,3304
101,101.0,3305.0,101,3334
102,102.0,3336.0,102,3367
103,103.0,3371.0,103,3399
104,104.0,3403.0,104,3431
105,105.0,3438.0,105,3478
106,106.0,3468.0,106,3509
107,107.0,3501.0,107,3542
108,108.0,3535.0,108,3574
109,109.0,3569.0,109,3606
110,110.0,3602.0,110,3638
111,111.0,3636.0,111,3671
112,112.0,3670.0,112,3704
113,113.0,3706.0,113,3734
114,114.0,3736.0,114,3766
115,115.0,3768.0,115,3798
116,116.0,3802.0,116,3846
117,117.0,3835.0,117,3878
118,118.0,3868.0,118,3909
119,119.0,3902.0,119,3941
120,120.0,3935.0,120,3974
121,121.0,3969.0,121,4006
122,122.0,4002.0,122,4038
123,123.0,4035.0,123,4070
